gene_symbol,log2_fold_change,nominal_p,adjusted_p
H3-3A,0.2912192856130966,1.5126105088105892e-5,0.0012245687814711
HTR7P1,-0.5368210649096621,1.5144895872749363e-5,0.0012245687814711
NCR3LG1,-0.5946773342451479,1.5152802751947675e-5,0.0012245687814711
LCAT,0.904550173432808,1.527750945395594e-5,0.00122989827069519
PRKG1,0.4504355989940789,1.5633587445600564e-5,0.00125374183457419
KCTD11,0.586492526526575,1.592152866414813e-5,0.00127195998652398
JPH2,1.553419538695303,1.612170658310493e-5,0.00128305490680976
MAGI3,-0.25487037153170355,1.6233352931526623e-5,0.00128704662958251
TAF4B,-0.4649382758608964,1.6460775906736883e-5,0.00129657902557372
DBI,0.5258084953808648,1.6560403384919686e-5,0.00129657902557372
FBXO2,0.6491430368613651,1.6581174959606108e-5,0.00129657902557372
CHRM4,-0.5876236153393004,1.6601365384059928e-5,0.00129657902557372
PRMT8,-0.7359915101108512,1.6768784126543772e-5,0.00130405290355508
FANCC,0.6214779692081769,1.6821665661453053e-5,0.00130405290355508
SERPINE1,1.3346055336697389,1.6895685078850375e-5,0.00130495787596094
RPL24P4,1.4580636117648078,1.7131461798102453e-5,0.00131526015359335
WFS1,0.4258884821094835,1.7190147295478494e-5,0.00131526015359335
GALR1,-1.0041851851391317,1.7217585499239384e-5,0.00131526015359335
FAM163B,-0.5580680435430079,1.741245412970685e-5,0.00132530937232325
ICA1,-0.5424050432062222,1.7807809856816456e-5,0.00135049010185878
TMEM241,-0.46846460787548394,1.812144304569738e-5,0.00136931380646025
SYDE1,0.7366385649379472,1.820231213430448e-5,0.00136984139941499
SPATA13,1.2361296932974684,1.829128727882355e-5,0.00136984139941499
TMEM169,-0.4782800276648554,1.832476192423667e-5,0.00136984139941499
FAM83H,-0.5996985567236832,1.8604847688523176e-5,0.00138582941981664
GCC2,-0.296603773546984,1.870770829558612e-5,0.00138854979551387
WWTR1,0.7280426687972739,1.8878350094743788e-5,0.00139626411955152
INMT,1.9487559987126424,1.9294764789127924e-5,0.00142203775282125
GALM,0.621618657504394,1.9536430592976813e-5,0.00143479659207578
POLDIP3,0.31591870985668713,1.9745259923609723e-5,0.00143924294029798
IKBKB,0.38740883913917656,1.979708173610065e-5,0.00143924294029798
PCDH11Y,-0.7625863528060979,1.98032567390865e-5,0.00143924294029798
C8ORF58,0.5206227561844754,2.020191507971921e-5,0.00145809063632276
ZIC2,0.8601458861910407,2.0928674493998276e-5,0.00150535424685181
LINC00507,-1.51071621917218,2.1558726048692907e-5,0.00154279900660215
SORCS3,-0.55916830562183,2.159667999304529e-5,0.00154279900660215
TET3,-0.2600957132651196,2.1810170057177737e-5,0.00154911534663286
ATF7IP2,-0.3777532111816293,2.2015177972563876e-5,0.00155608908834488
RBPMS2,0.8804708174622671,2.2101774287404298e-5,0.00155608908834488
NFE2,1.3084400426728928,2.229179440600083e-5,0.00155608908834488
TSPAN6,0.6097210536916875,2.235205950332529e-5,0.00155608908834488
PGF,0.947303367658984,2.2368768658590147e-5,0.00155608908834488
RPSAP69,-1.0711851028321435,2.2432720404477132e-5,0.00155608908834488
MT1X,1.1511553264278025,2.245181332378553e-5,0.00155608908834488
BAIAP2L2,-0.5773457124567408,2.2615584226718892e-5,0.0015582432106407
RGL3,0.7304135872032518,2.2685307717375e-5,0.0015582432106407
TCEAL9,0.42713862357409793,2.277398883397179e-5,0.0015582432106407
SMO,0.6189521651162764,2.2780680447950612e-5,0.0015582432106407
TRIM5,0.6868992187352152,2.2946053842825902e-5,0.0015644425178638
SLC20A1,-0.3185438961474931,2.324900694220736e-5,0.00157995118281604
INF2,-0.48044725380550446,2.3606992261778132e-5,0.00159746197194902
SEPTIN5,-0.4762640204497562,2.3659319253939005e-5,0.00159746197194902
SLC43A3,0.6845113178662858,2.3784130961745837e-5,0.00160072554713923
ENAH,0.3133518708174883,2.4009188663745234e-5,0.00161069335872067
LINGO3,-0.5762404255120028,2.4155488116632564e-5,0.00161533074047679
VASP,0.5588411750069708,2.4289510226887417e-5,0.00161912018649356
CCDC102A,0.9687211638750868,2.4439875259613692e-5,0.00162397152082214
SYTL4,1.0690787214344972,2.456034883863204e-5,0.00162681222006774
CRY2,-0.3831968154573193,2.4718765257161045e-5,0.00163214030156983
WWOX,0.377616793924088,2.4940293495462476e-5,0.00164158894073435
SMURF1,-0.2727926139561019,2.50689065866723e-5,0.0016448817672904
EVC2,0.8869845478356497,2.522243581096341e-5,0.00164978376237273
ADAM11,-0.5488372323685962,2.5479039060093065e-5,0.00166137621983429
SNORA73B,1.0761852792426323,2.561704523594325e-5,0.00166518749637741
LINC00898,-1.1899198538725075,2.5754818789432795e-5,0.00166896009932389
SCN5A,-0.8001351875823746,2.596329291807041e-5,0.00166931239497286
ITPKB,0.7312391175185358,2.5982066370928986e-05,0.00166931239497286
RENBP,0.6294593105154185,2.602301508677652e-5,0.00166931239497286
AGFG2,0.3962491338607572,2.6079267744308734e-5,0.00166931239497286
