module_id,gene_symbol,copper,broad_iron,core_iron,module_order,disease_group,cohort,module_colour
FTLD3_black,SMAD1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,SMAD9,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,SNCA,TRUE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,STC2,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,TBXAS1,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,TET1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,TP53,TRUE,FALSE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_turquoise,ABCB6,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,ACO1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,ACO2,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,ADO,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,ALKBH2,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,ARF1,TRUE,FALSE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,ATP6V0A2,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,ATP6V1A,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,B2M,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,BCL2,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,BMP6,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,CAT,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,CBS,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,CIAPIN1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,CLTC,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,COX10,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,COX15,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,COX17,TRUE,FALSE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,CUTC,TRUE,FALSE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,CYB5B,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,CYP2R1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,CYP51A1,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,DAXX,TRUE,FALSE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,DGCR8,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,DNAJC24,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,DNM2,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,DOHH,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,DUOX1,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,EGLN1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,EGLN2,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,EIF2AK1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,FECH,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,FTH1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,FTO,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,GLRX3,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,GLRX5,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,HMOX2,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,ISCU,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,KCNH7,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,KDM3A,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,LMTK2,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,MCOLN1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,MMS19,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,MT3,TRUE,FALSE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,MYC,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,NDUFAB1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,NDUFS3,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,NDUFS4,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,NDUFS7,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,NDUFS8,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,NFU1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,NR1D1,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,NUBP1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,NUBPL,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,PARK7,TRUE,FALSE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,PGRMC2,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
FTLD3_turquoise,PICALM,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise
