No.,geneSymbol,Gene_set,GO_terms,GO_identifiers,Evidence_codes,Source_files
11,ALKBH2,Core iron,ferrous iron binding; iron ion binding,GO:0008198,IDA,ferrous_iron_binding_3.txt; iron_ion_binding_3.txt
12,ALKBH3,Core iron,ferrous iron binding; iron ion binding,GO:0008198,IDA,ferrous_iron_binding_3.txt; iron_ion_binding_3.txt
13,ALOX15B,Core iron,iron ion binding,GO:0005506,IDA,iron_ion_binding_3.txt
14,ALOX5,Core iron,iron ion binding,GO:0005506,IDA,iron_ion_binding_3.txt
15,AOX1,Core iron,iron ion binding,GO:0005506,IDA,iron_ion_binding_3.txt
16,ARHGAP1,Core iron,iron ion transport,GO:0033572,IMP,iron_ion_transport_3.txt
17,ATP13A2,Core iron,intracellular iron ion homeostasis; iron homeostasis; iron ion transport,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; iron_ion_transport_3.txt
18,ATP6AP1,Core iron,intracellular iron ion homeostasis; iron homeostasis,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt
19,ATP6V0A2,Core iron,intracellular iron ion homeostasis; iron homeostasis,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt
20,ATP6V0D1,Core iron,intracellular iron ion homeostasis; iron homeostasis,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt
21,ATP6V1A,Core iron,intracellular iron ion homeostasis; iron homeostasis,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt
22,ATP6V1G1,Core iron,intracellular iron ion homeostasis; iron homeostasis,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt
23,B2M,Core iron,cellular response to iron ion; intracellular iron ion homeostasis; iron homeostasis; iron ion binding; iron ion transport; response to iron ion,GO:0005515; GO:0006879; GO:0033572; GO:0034756; GO:0034757; GO:0048261; GO:0071281,IDA; IGI; IPI,cellular_response_to_iron_ion_3.txt; intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; iron_ion_binding_3.txt; iron_ion_transport_3.txt; response_to_iron_ion_3.txt
