gene_symbol,occurrences,recurrence_label,retained_modules,broad_iron,core_iron
NDUFS7,2,2/9,FTLD1_red; FTLD3_turquoise,TRUE,TRUE
NOX4,2,2/9,AD_ERC_darkred; PSP_pink,TRUE,FALSE
NR1D1,2,2/9,FTLD3_black; FTLD3_turquoise,TRUE,FALSE
PGRMC2,2,2/9,FTLD3_black; FTLD3_turquoise,TRUE,FALSE
PICALM,2,2/9,FTLD3_turquoise; MSA_violet,TRUE,TRUE
PPOX,2,2/9,FTLD3_black; FTLD3_turquoise,TRUE,FALSE
SLC25A39,2,2/9,FTLD3_black; FTLD3_turquoise,TRUE,TRUE
SLC39A14,2,2/9,AD_ERC_darkred; FTLD3_turquoise,TRUE,TRUE
SLC39A8,2,2/9,FTLD3_turquoise; PSP_pink,TRUE,TRUE
SLC48A1,2,2/9,AD_HIPPO_yellow; FTLD3_black,TRUE,TRUE
SMAD1,2,2/9,FTLD3_black; FTLD3_turquoise,TRUE,TRUE
STEAP4,2,2/9,AD_ERC_darkred; FTLD1_red,TRUE,FALSE
TBXAS1,2,2/9,AD_ERC_darkred; FTLD3_black,TRUE,FALSE
TET1,2,2/9,FTLD3_black; MSA_violet,TRUE,TRUE
TFAP2A,2,2/9,AD_HIPPO_yellow; FTLD3_turquoise,TRUE,TRUE
