network_id,module,gene_set,overlap,module_size,network_background_size,available_gene_set_size,odds_ratio,p_value,FDR,module_id,disease_group,disease_or_comparison,dataset_or_network,source_study,positive_enrichment,FDR_significant
AD_HIPPO,magenta,Copper,4,1258,13606,31,1.455551910376372,0.5262394443368967,0.9438199698930538,AD_HIPPO_magenta,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,salmon,Copper,5,1712,13606,31,1.3369938848289333,0.5832830972913974,0.9438199698930538,AD_HIPPO_salmon,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,grey60,Copper,2,1413,13606,31,0.5945591728941928,0.7660813247546991,0.9438199698930538,AD_HIPPO_grey60,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,lightgreen,Copper,4,1573,13606,31,1.1336000072106498,0.7770986091332752,0.9438199698930538,AD_HIPPO_lightgreen,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,green,Copper,5,2113,13606,31,1.0461109331171048,0.8077664247712565,0.9438199698930538,AD_HIPPO_green,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,yellow,Copper,5,2433,13606,31,0.8828967307378199,0.9999999999999997,0.9999999999999998,AD_HIPPO_yellow,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,yellow,Core iron,22,2433,13606,83,1.662140911815206,0.04446378646632024,0.4001740781968821,AD_HIPPO_yellow,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),TRUE,FALSE
AD_HIPPO,grey60,Core iron,5,1413,13606,83,0.5515837263490593,0.2754476774708955,0.6991385615672936,AD_HIPPO_grey60,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,green,Core iron,9,2113,13606,83,0.6600937398300133,0.2876108166683716,0.6991385615672936,AD_HIPPO_green,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,magenta,Core iron,10,1258,13606,83,1.3473226042599378,0.34293978525695434,0.6991385615672936,AD_HIPPO_magenta,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,salmon,Core iron,13,1712,13606,83,1.2924291495245226,0.4046974189866874,0.7284553541760372,AD_HIPPO_salmon,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,lightgreen,Core iron,8,1573,13606,83,0.8150600309459466,0.7305061026016129,0.90064657704326,AD_HIPPO_lightgreen,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,brown,Core iron,9,1386,13606,83,1.0727992639458104,0.8547825997553491,0.9616304247247678,AD_HIPPO_brown,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,midnightblue,Core iron,17,2825,13606,83,0.9828775774601924,1.0000000000000002,1,AD_HIPPO_midnightblue,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
FTLD1,violet,Broad iron,21,1687,15242,149,1.3222191773030527,0.23692684181574702,0.9710637301335081,FTLD1_violet,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,darkgreen,Broad iron,21,1694,15242,149,1.316001123722357,0.23849263950675356,0.9710637301335081,FTLD1_darkgreen,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,white,Broad iron,5,817,15242,149,0.6106777151611346,0.3598134718419582,0.9710637301335081,FTLD1_white,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,skyblue,Broad iron,15,1870,15242,149,0.7988621750265642,0.5293484716722923,0.9710637301335081,FTLD1_skyblue,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,blue,Broad iron,25,2291,15242,149,1.1412140498546324,0.5640500503709344,0.9710637301335081,FTLD1_blue,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,red,Broad iron,13,1598,15242,149,0.8146791829476998,0.5904221263866994,0.9710637301335081,FTLD1_red,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,brown,Broad iron,16,1890,15242,149,0.8486204077625036,0.6179496464485961,0.9710637301335081,FTLD1_brown,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,grey60,Broad iron,13,1236,15242,149,1.0840231535483684,0.7622344486236444,1,FTLD1_grey60,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,darkturquoise,Broad iron,8,941,15242,149,0.8611011022123128,0.8637423965872452,1,FTLD1_darkturquoise,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,red,Copper,7,1598,15242,29,2.7239866009672893,0.027159687134088346,0.4481348377124577,FTLD1_red,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),TRUE,FALSE
FTLD1,white,Copper,3,817,15242,29,2.040929692207047,0.20155912009853547,1,FTLD1_white,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,darkturquoise,Copper,3,941,15242,29,1.7558995269852837,0.4220867393193151,1,FTLD1_darkturquoise,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,violet,Copper,4,1687,15242,29,1.2862500895572369,0.5555563308061089,1,FTLD1_violet,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,darkgreen,Copper,4,1694,15242,29,1.280260198215319,0.556980215790488,1,FTLD1_darkgreen,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,brown,Copper,2,1890,15242,29,0.5228131070856133,0.5716193109740314,1,FTLD1_brown,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,blue,Copper,3,2291,15242,29,0.6518290780246948,0.6102964748473306,1,FTLD1_blue,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,skyblue,Copper,4,1870,15242,29,1.1444080181878982,0.775354056909387,1,FTLD1_skyblue,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,grey60,Copper,2,1236,15242,29,0.8391244391935415,1,1,FTLD1_grey60,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,darkgreen,Core iron,17,1694,15242,101,1.6247687650002067,0.07860293073936482,0.6484741785997598,FTLD1_darkgreen,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,violet,Core iron,15,1687,15242,101,1.405008964845453,0.20569669932497142,0.8484988847155072,FTLD1_violet,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,red,Core iron,8,1598,15242,101,0.7331508181129401,0.5137476253804997,0.9665220238405609,FTLD1_red,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,brown,Core iron,10,1890,15242,101,0.7751464334574495,0.5447834809415728,0.9665220238405609,FTLD1_brown,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,darkturquoise,Core iron,7,941,15242,101,1.132717664662565,0.6778192014963934,0.9665220238405609,FTLD1_darkturquoise,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,blue,Core iron,16,2291,15242,101,1.0645532462783134,0.7804420577079481,0.9665220238405609,FTLD1_blue,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,white,Core iron,4,817,15242,101,0.7267522725674908,0.8225584855641523,0.9665220238405609,FTLD1_white,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,skyblue,Core iron,13,1870,15242,101,1.056773964393791,0.8786563853096007,0.9665220238405609,FTLD1_skyblue,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD1,grey60,Core iron,8,1236,15242,101,0.9746080919131421,1,1,FTLD1_grey60,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),FALSE,FALSE
FTLD2,darkmagenta,Broad iron,21,1063,15193,141,2.352737275411066,0.0011986622333839568,0.05873444943581388,FTLD2_darkmagenta,Frontotemporal lobar degeneration,FTLD,FTLD2,Fodder et al. (2023),TRUE,FALSE
FTLD2,orangered4,Broad iron,15,968,15193,141,1.7611431297560785,0.05333087046166213,0.6685553728841513,FTLD2_orangered4,Frontotemporal lobar degeneration,FTLD,FTLD2,Fodder et al. (2023),FALSE,FALSE
FTLD2,lightcyan1,Broad iron,4,911,15193,141,0.45535618805878253,0.15015480826459737,0.9342867599379219,FTLD2_lightcyan1,Frontotemporal lobar degeneration,FTLD,FTLD2,Fodder et al. (2023),FALSE,FALSE
FTLD2,red,Broad iron,16,1241,15193,141,1.4447289673207602,0.16395851244098045,0.9342867599379219,FTLD2_red,Frontotemporal lobar degeneration,FTLD,FTLD2,Fodder et al. (2023),FALSE,FALSE
FTLD2,paleturquoise,Broad iron,27,2359,15193,141,1.2918412666997472,0.24199647839057759,0.9342867599379219,FTLD2_paleturquoise,Frontotemporal lobar degeneration,FTLD,FTLD2,Fodder et al. (2023),FALSE,FALSE
FTLD2,sienna3,Broad iron,14,1142,15193,141,1.3607137389576422,0.2608933263657605,0.9342867599379219,FTLD2_sienna3,Frontotemporal lobar degeneration,FTLD,FTLD2,Fodder et al. (2023),FALSE,FALSE
FTLD2,steelblue,Broad iron,8,653,15193,141,1.3435133990308876,0.39970910051625674,0.9976342350817698,FTLD2_steelblue,Frontotemporal lobar degeneration,FTLD,FTLD2,Fodder et al. (2023),FALSE,FALSE
FTLD2,blue,Broad iron,20,2594,15193,141,0.8012857191025254,0.43089362264471015,0.9976342350817698,FTLD2_blue,Frontotemporal lobar degeneration,FTLD,FTLD2,Fodder et al. (2023),FALSE,FALSE
FTLD2,ivory,Broad iron,8,692,15193,141,1.263486265042908,0.5381859352819881,0.9976342350817698,FTLD2_ivory,Frontotemporal lobar degeneration,FTLD,FTLD2,Fodder et al. (2023),FALSE,FALSE
FTLD2,darkorange2,Broad iron,11,1488,15193,141,0.7777309319493068,0.5676310696316146,0.9976342350817698,FTLD2_darkorange2,Frontotemporal lobar degeneration,FTLD,FTLD2,Fodder et al. (2023),FALSE,FALSE
